Amount	FirstDigit	SecondDigit	FirstTwo
$61.31	6	1	61
$25.75	2	5	25
$37.26	3	7	37
$36.90	3	6	36
$33.21	3	3	33
$45.24	4	5	45
$58.63	5	8	58
$139.61	1	3	13
$42.91	4	2	42
$105.03	1	0	10
$76.07	7	6	76
$53.41	5	3	53
$32.91	3	2	32
$68.25	6	8	68
$48.12	4	8	48
$36.58	3	6	36
$29.52	2	9	29
$51.11	5	1	51
$37.31	3	7	37
"$20,824.92"	2	0	20
$420.66	4	2	42
$19.12	1	9	19
"$10,832.80"	1	0	10
"$11,519.89"	1	1	11
"$11,895.65"	1	1	11
$311.07	3	1	31
$144.77	1	4	14
"$8,406.94"	8	4	84
"$4,966.33"	4	9	49
"$16,049.54"	1	6	16
"$16,768.12"	1	6	16
"$6,546.47"	6	5	65
"$12,872.48"	1	2	12
$3.94	3	9	39
"$15,138.60"	1	5	15
"$3,483.28"	3	4	34
"$8,536.84"	8	5	85
"$8,697.58"	8	6	86
$155.80	1	5	15
"$13,839.47"	1	3	13
"$1,899.69"	1	8	18
"$13,574.25"	1	3	13
"$17,601.53"	1	7	17
"$11,529.28"	1	1	11
"$14,254.19"	1	4	14
"$14,272.03"	1	4	14
"$13,122.70"	1	3	13
"$5,569.70"	5	5	55
"$11,348.96"	1	1	11
"$13,799.03"	1	3	13
$88.99	8	8	88
"$8,317.56"	8	3	83
$512.73	5	1	51
$726.07	7	2	72
"$18,068.73"	1	8	18
"$12,896.58"	1	2	12
"$11,999.26"	1	1	11
"$5,170.57"	5	1	51
"$9,251.32"	9	2	92
"$16,871.60"	1	6	16
"$12,419.87"	1	2	12
"$7,749.34"	7	7	77
"$10,810.34"	1	0	10
"$7,605.02"	7	6	76
$233.33	2	3	23
"$1,235.81"	1	2	12
$536.04	5	3	53
"$8,277.77"	8	2	82
"$9,640.08"	9	6	96
"$17,591.62"	1	7	17
$705.17	7	0	70
"$11,185.38"	1	1	11
$76.98	7	6	76
"$10,727.74"	1	0	10
"$26,062.42"	2	6	26
"$4,247.08"	4	2	42
$459.60	4	5	45
"$3,151.62"	3	1	31
"$15,731.69"	1	5	15
"$8,589.76"	8	5	85
"$9,748.29"	9	7	97
"$3,288.03"	3	2	32
$69.88	6	9	69
"$9,008.24"	9	0	90
"$18,949.24"	1	8	18
"$17,516.70"	1	7	17
"$9,484.81"	9	4	94
$108.93	1	0	10
"$7,996.37"	7	9	79
$582.87	5	8	58
"$4,043.84"	4	0	40
"$1,892.95"	1	8	18
"$6,319.83"	6	3	63
"$24,487.89"	2	4	24
"$10,678.36"	1	0	10
"$7,986.49"	7	9	79
"$15,645.88"	1	5	15
"$11,543.20"	1	1	11
$9.33	9	3	93
"$18,863.95"	1	8	18
"$9,073.16"	9	0	90
"$7,570.40"	7	5	75
$436.67	4	3	43
"$9,848.98"	9	8	98
"$4,519.03"	4	5	45
"$8,074.16"	8	0	80
$150.30	1	5	15
"$283,969.14"	2	8	28
"$5,953.96"	5	9	59
"$7,196.17"	7	1	71
"$27,248.93"	2	7	27
"$6,969.25"	6	9	69
"$10,267.34"	1	0	10
"$15,590.19"	1	5	15
"$6,750.28"	6	7	67
"$7,272.40"	7	2	72
"$11,826.06"	1	1	11
"$15,290.43"	1	5	15
"$13,423.81"	1	3	13
"$10,964.91"	1	0	10
"$8,895.50"	8	8	88
"$7,088.60"	7	0	70
"$9,747.90"	9	7	97
$102.92	1	0	10
"$11,856.38"	1	1	11
"$11,974.43"	1	1	11
"$8,752.21"	8	7	87
"$8,681.86"	8	6	86
"$12,204.24"	1	2	12
$665.65	6	6	66
"$2,378.89"	2	3	23
"$4,449.46"	4	4	44
"$3,874.37"	3	8	38
"$6,397.25"	6	3	63
"$6,251.18"	6	2	62
"$13,504.61"	1	3	13
"$5,340.76"	5	3	53
"$14,153.07"	1	4	14
"$17,041.69"	1	7	17
"$6,710.74"	6	7	67
"$9,509.52"	9	5	95
"$9,538.00"	9	5	95
$680.04	6	8	68
"$8,090.03"	8	0	80
"$11,851.19"	1	1	11
"$8,367.63"	8	3	83
"$8,019.67"	8	0	80
$52.28	5	2	52
"$3,348.51"	3	3	33
$213.23	2	1	21
"$7,408.26"	7	4	74
$500.07	5	0	50
"$21,386.98"	2	1	21
"$7,538.50"	7	5	75
"$9,671.13"	9	6	96
"$8,066.84"	8	0	80
$651.28	6	5	65
"$10,203.40"	1	0	10
"$10,904.29"	1	0	10
"$10,611.28"	1	0	10
$65.47	6	5	65
"$4,321.17"	4	3	43
$491.79	4	9	49
"$2,932.82"	2	9	29
"$12,028.16"	1	2	12
"$13,612.14"	1	3	13
"$7,839.87"	7	8	78
"$7,217.98"	7	2	72
"$11,279.82"	1	1	11
"$9,073.97"	9	0	90
"$18,702.61"	1	8	18
"$3,829.79"	3	8	38
"$21,295.54"	2	1	21
"$9,847.34"	9	8	98
"$8,450.90"	8	4	84
"$1,892.03"	1	8	18
"$4,201.24"	4	2	42
$591.39	5	9	59
"$14,510.55"	1	4	14
"$11,486.26"	1	1	11
"$8,041.49"	8	0	80
"$6,353.95"	6	3	63
"$8,317.78"	8	3	83
"$8,594.47"	8	5	85
"$60,648.75"	6	0	60
"$3,877.43"	3	8	38
"$8,742.69"	8	7	87
"$15,890.33"	1	5	15
"$10,289.05"	1	0	10
"$10,973.15"	1	0	10
"$8,253.09"	8	2	82
"$8,233.34"	8	2	82
"$7,910.76"	7	9	79
"$16,670.17"	1	6	16
"$13,134.93"	1	3	13
"$16,967.15"	1	6	16
"$8,354.33"	8	3	83
"$18,776.57"	1	8	18
"$4,773.66"	4	7	47
"$8,087.25"	8	0	80
"$8,774.37"	8	7	87
"$7,910.57"	7	9	79
$158.60	1	5	15
"$6,616.53"	6	6	66
"$10,464.15"	1	0	10
"$13,449.54"	1	3	13
"$12,071.38"	1	2	12
$463.66	4	6	46
"$1,148.04"	1	1	11
"$10,252.01"	1	0	10
"$17,132.48"	1	7	17
"$1,348.57"	1	3	13
"$8,265.47"	8	2	82
"$13,798.92"	1	3	13
"$7,987.70"	7	9	79
"$6,665.57"	6	6	66
"$6,717.31"	6	7	67
"$4,732.98"	4	7	47
"$8,925.59"	8	9	89
"$8,327.23"	8	3	83
"$6,128.00"	6	1	61
"$9,481.86"	9	4	94
"$6,235.75"	6	2	62
"$4,948.02"	4	9	49
$46.19	4	6	46
"$3,141.40"	3	1	31
"$11,400.72"	1	1	11
"$4,119.16"	4	1	41
"$16,924.21"	1	6	16
"$9,494.45"	9	4	94
"$9,684.98"	9	6	96
"$7,775.23"	7	7	77
"$8,370.87"	8	3	83
$63.93	6	3	63
"$9,762.00"	9	7	97
"$4,107.55"	4	1	41
$466.22	4	6	46
"$2,840.27"	2	8	28
"$7,173.53"	7	1	71
$221.26	2	2	22
"$9,666.32"	9	6	96
"$7,834.29"	7	8	78
"$9,197.51"	9	1	91
$679.49	6	7	67
"$10,539.68"	1	0	10
"$11,698.77"	1	1	11
"$12,908.49"	1	2	12
"$34,658.78"	3	4	34
"$8,837.28"	8	8	88
"$14,978.22"	1	4	14
$518.06	5	1	51
"$11,158.06"	1	1	11
$518.55	5	1	51
"$8,096.25"	8	0	80
$591.56	5	9	59
"$2,037.02"	2	0	20
"$4,484.94"	4	4	44
"$12,989.13"	1	2	12
$492.43	4	9	49
"$8,385.59"	8	3	83
"$6,148.33"	6	1	61
"$8,621.75"	8	6	86
"$7,967.16"	7	9	79
"$32,089.92"	3	2	32
"$17,704.42"	1	7	17
"$8,291.58"	8	2	82
"$3,902.97"	3	9	39
"$8,572.72"	8	5	85
"$8,164.30"	8	1	81
"$6,746.70"	6	7	67
"$10,603.00"	1	0	10
$47.73	4	7	47
$112.75	1	1	11
"$13,816.51"	1	3	13
"$8,683.85"	8	6	86
"$16,122.41"	1	6	16
"$7,867.02"	7	8	78
"$8,156.14"	8	1	81
"$17,871.50"	1	7	17
"$4,562.88"	4	5	45
"$55,589.32"	5	5	55
$820.58	8	2	82
"$3,877.35"	3	8	38
"$2,006.93"	2	0	20
"$14,155.39"	1	4	14
"$6,685.38"	6	6	66
"$13,208.45"	1	3	13
"$7,448.29"	7	4	74
"$12,333.03"	1	2	12
$401.90	4	0	40
"$6,255.00"	6	2	62
"$16,082.36"	1	6	16
"$6,521.71"	6	5	65
"$2,029.65"	2	0	20
"$13,917.02"	1	3	13
"$13,916.79"	1	3	13
"$15,158.46"	1	5	15
"$12,784.18"	1	2	12
"$9,441.89"	9	4	94
$494.79	4	9	49
$751.27	7	5	75
"$3,884.74"	3	8	38
"$12,127.38"	1	2	12
$100.12	1	0	10
"$3,573.96"	3	5	35
"$7,335.87"	7	3	73
"$14,840.75"	1	4	14
"$6,713.25"	6	7	67
"$6,468.02"	6	4	64
"$9,868.59"	9	8	98
$54.99	5	4	54
"$3,220.15"	3	2	32
$54.99	5	4	54
"$9,707.86"	9	7	97
"$4,068.84"	4	0	40
"$5,833.80"	5	8	58
"$3,574.25"	3	5	35
"$14,817.68"	1	4	14
"$15,029.16"	1	5	15
"$11,436.89"	1	1	11
"$7,673.14"	7	6	76
"$7,222.24"	7	2	72
"$8,016.90"	8	0	80
"$1,988.84"	1	9	19
"$9,489.66"	9	4	94
"$5,112.87"	5	1	51
"$7,158.04"	7	1	71
"$8,196.69"	8	1	81
$77.05	7	7	77
"$9,491.18"	9	4	94
"$4,054.45"	4	0	40
$456.26	4	5	45
"$2,850.18"	2	8	28
"$7,252.53"	7	2	72
$227.79	2	2	22
"$10,041.72"	1	0	10
"$8,136.83"	8	1	81
"$9,570.80"	9	5	95
$532.69	5	3	53
"$9,947.15"	9	9	99
"$10,464.57"	1	0	10
"$13,148.74"	1	3	13
"$14,806.42"	1	4	14
"$9,745.43"	9	7	97
$561.20	5	6	56
"$8,515.75"	8	5	85
"$2,041.50"	2	0	20
$592.88	5	9	59
"$8,181.40"	8	1	81
"$31,449.75"	3	1	31
"$13,963.45"	1	3	13
"$6,428.20"	6	4	64
"$6,547.65"	6	5	65
"$8,729.45"	8	7	87
"$4,213.49"	4	2	42
"$8,507.62"	8	5	85
"$17,331.45"	1	7	17
"$7,988.17"	7	9	79
"$27,530.19"	2	7	27
"$7,079.40"	7	0	70
"$7,437.86"	7	4	74
"$6,886.28"	6	8	68
"$11,406.59"	1	1	11
"$33,336.73"	3	3	33
$25.75	2	5	25
"$13,131.08"	1	3	13
"$5,427.77"	5	4	54
"$17,530.74"	1	7	17
"$50,006.06"	5	0	50
"$7,619.28"	7	6	76
$184.63	1	8	18
$124.23	1	2	12
$462.73	4	6	46
$141.65	1	4	14
$54.18	5	4	54
"$1,135.43"	1	1	11
"$5,394.03"	5	3	53
"$4,706.15"	4	7	47
"$19,455.46"	1	9	19
$282.28	2	8	28
"$9,441.55"	9	4	94
$73.42	7	3	73
"$6,435.90"	6	4	64
"$7,570.54"	7	5	75
"$3,818.84"	3	8	38
"$1,713.20"	1	7	17
"$15,212.45"	1	5	15
"$13,621.29"	1	3	13
"$1,712.70"	1	7	17
"$5,114.10"	5	1	51
"$6,296.99"	6	2	62
"$6,365.99"	6	3	63
"$3,216.53"	3	2	32
"$2,173.08"	2	1	21
"$6,277.46"	6	2	62
"$8,494.12"	8	4	84
"$17,774.09"	1	7	17
"$12,389.79"	1	2	12
"$3,754.03"	3	7	37
"$5,412.05"	5	4	54
$67.89	6	7	67
$83.17	8	3	83
$585.69	5	8	58
$644.25	6	4	64
"$12,692.66"	1	2	12
"$11,976.17"	1	1	11
"$15,870.40"	1	5	15
"$6,570.80"	6	5	65
"$14,856.92"	1	4	14
"$8,285.59"	8	2	82
"$6,982.19"	6	9	69
"$5,901.82"	5	9	59
"$8,408.75"	8	4	84
"$8,401.22"	8	4	84
$87.21	8	7	87
"$9,501.73"	9	5	95
"$4,076.68"	4	0	40
$625.27	6	2	62
"$3,336.94"	3	3	33
"$7,342.42"	7	3	73
$223.73	2	2	22
"$11,488.17"	1	1	11
"$7,955.37"	7	9	79
"$9,420.05"	9	4	94
$474.98	4	7	47
"$10,124.41"	1	0	10
"$11,406.36"	1	1	11
"$13,535.72"	1	3	13
"$15,830.34"	1	5	15
"$10,059.54"	1	0	10
$503.96	5	0	50
"$2,241.83"	2	2	22
"$6,982.19"	6	9	69
"$1,972.53"	1	9	19
$585.48	5	8	58
"$7,843.09"	7	8	78
"$28,155.35"	2	8	28
$557.50	5	5	55
"$4,469.17"	4	4	44
"$7,843.99"	7	8	78
"$4,619.06"	4	6	46
"$4,619.06"	4	6	46
"$3,442.44"	3	4	34
"$6,105.78"	6	1	61
"$8,725.49"	8	7	87
"$8,523.60"	8	5	85
$613.48	6	1	61
"$6,622.41"	6	6	66
"$7,536.69"	7	5	75
$330.81	3	3	33
$545.60	5	4	54
$77.19	7	7	77
"$20,192.93"	2	0	20
"$6,481.60"	6	4	64
$271.61	2	7	27
$292.01	2	9	29
$42.01	4	2	42
$28.21	2	8	28
$42.25	4	2	42
$674.97	6	7	67
$112.81	1	1	11
$86.71	8	6	86
$40.07	4	0	40
$230.39	2	3	23
$38.19	3	8	38
$44.72	4	4	44
$425.50	4	2	42
$47.35	4	7	47
$74.65	7	4	74
$115.51	1	1	11
$170.40	1	7	17
"$15,907.34"	1	5	15
"$2,930.57"	2	9	29
"$2,501.66"	2	5	25
"$15,907.34"	1	5	15
$94.82	9	4	94
$25.26	2	5	25
$47.08	4	7	47
$58.27	5	8	58
"$13,213.87"	1	3	13
$58.64	5	8	58
$56.78	5	6	56
$45.42	4	5	45
$211.13	2	1	21
$63.91	6	3	63
$30.80	3	0	30
$39.82	3	9	39
$33.48	3	3	33
$49.96	4	9	49
$151.30	1	5	15
$60.55	6	0	60
$216.73	2	1	21
$26.77	2	6	26
$303.89	3	0	30
$459.63	4	5	45
$129.21	1	2	12
$53.75	5	3	53
$59.29	5	9	59
$376.53	3	7	37
$110.01	1	1	11
$161.31	1	6	16
$62.10	6	2	62
"$1,235.55"	1	2	12
$58.88	5	8	58
$175.59	1	7	17
$70.04	7	0	70
$74.47	7	4	74
$293.76	2	9	29
$101.33	1	0	10
$175.90	1	7	17
$104.63	1	0	10
$84.05	8	4	84
$40.18	4	0	40
$253.13	2	5	25
$39.16	3	9	39
$60.05	6	0	60
$56.45	5	6	56
$72.85	7	2	72
$454.05	4	5	45
$36.43	3	6	36
$121.73	1	2	12
$205.65	2	0	20
$62.94	6	2	62
$310.55	3	1	31
$29.12	2	9	29
$49.98	4	9	49
$87.01	8	7	87
$62.28	6	2	62
$46.15	4	6	46
$28.38	2	8	28
$48.76	4	8	48
"$1,107.57"	1	1	11
$43.09	4	3	43
$84.12	8	4	84
$55.77	5	5	55
$48.59	4	8	48
$46.55	4	6	46
$126.05	1	2	12
$114.16	1	1	11
"$3,759.52"	3	7	37
$57.88	5	7	57
"$3,759.52"	3	7	37
"$5,496.68"	5	4	54
$473.65	4	7	47
$50.60	5	0	50
$155.51	1	5	15
$425.38	4	2	42
"$13,643.41"	1	3	13
"$5,793.38"	5	7	57
"$12,390.15"	1	2	12
$28.83	2	8	28
$54.96	5	4	54
$121.46	1	2	12
$402.91	4	0	40
$250.31	2	5	25
"$17,905.80"	1	7	17
"$3,435.80"	3	4	34
"$11,794.45"	1	1	11
"$8,951.66"	8	9	89
"$10,369.88"	1	0	10
"$10,092.40"	1	0	10
"$8,347.86"	8	3	83
"$2,203.85"	2	2	22
"$11,723.13"	1	1	11
$372.74	3	7	37
$255.68	2	5	25
$100.25	1	0	10
"$1,079.92"	1	0	10
$107.07	1	0	10
$584.74	5	8	58
$30.55	3	0	30
$62.00	6	2	62
$173.69	1	7	17
$624.71	6	2	62
$205.88	2	0	20
$89.28	8	9	89
$128.83	1	2	12
$33.30	3	3	33
$50.88	5	0	50
$344.93	3	4	34
$302.42	3	0	30
$627.03	6	2	62
$59.32	5	9	59
$392.12	3	9	39
$282.82	2	8	28
$731.83	7	3	73
$575.67	5	7	57
$179.04	1	7	17
$324.23	3	2	32
$560.22	5	6	56
$81.25	8	1	81
"$5,945.98"	5	9	59
"$17,733.39"	1	7	17
$37.14	3	7	37
$158.87	1	5	15
$205.61	2	0	20
$65.39	6	5	65
$35.79	3	5	35
$71.43	7	1	71
$77.98	7	7	77
$100.47	1	0	10
$31.11	3	1	31
$57.88	5	7	57
$56.26	5	6	56
$149.60	1	4	14
$211.13	2	1	21
$630.09	6	3	63
$753.01	7	5	75
$55.12	5	5	55
$72.03	7	2	72
$167.97	1	6	16
$66.64	6	6	66
$58.49	5	8	58
$54.74	5	4	54
$40.39	4	0	40
$137.45	1	3	13
$43.04	4	3	43
$164.05	1	6	16
$50.22	5	0	50
$81.10	8	1	81
$73.66	7	3	73
$40.13	4	0	40
$57.50	5	7	57
$53.95	5	3	53
$175.50	1	7	17
$103.69	1	0	10
$27.37	2	7	27
$63.68	6	3	63
$145.92	1	4	14
$37.98	3	7	37
$45.32	4	5	45
$43.83	4	3	43
$71.14	7	1	71
$64.08	6	4	64
$62.74	6	2	62
$43.03	4	3	43
$134.18	1	3	13
$34.38	3	4	34
$45.50	4	5	45
$36.51	3	6	36
$74.60	7	4	74
$26.55	2	6	26
$46.45	4	6	46
$39.50	3	9	39
$38.69	3	8	38
$114.46	1	1	11
$34.86	3	4	34
$40.68	4	0	40
"$41,579.28"	4	1	41
$86.31	8	6	86
$46.59	4	6	46
$55.22	5	5	55
$87.28	8	7	87
$107.14	1	0	10
"$6,094.90"	6	0	60
$31.68	3	1	31
$72.38	7	2	72
$87.99	8	7	87
$27.51	2	7	27
$37.51	3	7	37
$29.78	2	9	29
$54.73	5	4	54
$55.73	5	5	55
$79.66	7	9	79
$28.00	2	8	28
$64.97	6	4	64
$349.45	3	4	34
$343.05	3	4	34
$262.89	2	6	26
$341.06	3	4	34
"$4,993.97"	4	9	49
"$10,356.63"	1	0	10
"$20,581.13"	2	0	20
$40.79	4	0	40
$111.50	1	1	11
$30.06	3	0	30
$73.22	7	3	73
$78.78	7	8	78
$41.05	4	1	41
$40.36	4	0	40
$93.66	9	3	93
$60.61	6	0	60
$38.73	3	8	38
$128.95	1	2	12
$94.88	9	4	94
$384.00	3	8	38
$43.43	4	3	43
$26.29	2	6	26
$37.20	3	7	37
$36.80	3	6	36
$28.02	2	8	28
"$1,243.04"	1	2	12
$54.39	5	4	54
$40.77	4	0	40
$69.09	6	9	69
$48.46	4	8	48
$46.06	4	6	46
$51.15	5	1	51
$525.03	5	2	52
$265.25	2	6	26
$266.44	2	6	26
$482.75	4	8	48
$367.11	3	6	36
$171.24	1	7	17
$725.24	7	2	72
$88.67	8	8	88
$272.56	2	7	27
$143.08	1	4	14
$242.79	2	4	24
$295.55	2	9	29
$455.22	4	5	45
$362.33	3	6	36
$227.88	2	2	22
$37.90	3	7	37
$216.47	2	1	21
$928.37	9	2	92
"$9,408.55"	9	4	94
$204.15	2	0	20
"$5,790.11"	5	7	57
"$8,751.21"	8	7	87
"$4,121.02"	4	1	41
"$17,820.71"	1	7	17
"$12,880.41"	1	2	12
"$10,591.83"	1	0	10
$240.92	2	4	24
$72.15	7	2	72
$133.07	1	3	13
"$3,848.34"	3	8	38
"$3,754.03"	3	7	37
"$1,943.03"	1	9	19
$419.17	4	1	41
$684.86	6	8	68
$418.35	4	1	41
$205.11	2	0	20
$474.11	4	7	47
$898.19	8	9	89
$317.73	3	1	31
$532.75	5	3	53
$318.14	3	1	31
$130.43	1	3	13
$304.42	3	0	30
$254.61	2	5	25
$258.03	2	5	25
$166.57	1	6	16
$85.45	8	5	85
$527.86	5	2	52
$523.79	5	2	52
$677.71	6	7	67
$446.80	4	4	44
$145.07	1	4	14
$87.70	8	7	87
$53.08	5	3	53
$186.56	1	8	18
"$4,436.24"	4	4	44
$592.17	5	9	59
$206.99	2	0	20
$327.12	3	2	32
$412.50	4	1	41
$240.45	2	4	24
$84.56	8	4	84
$147.41	1	4	14
$279.49	2	7	27
$175.03	1	7	17
$564.62	5	6	56
$120.11	1	2	12
$250.61	2	5	25
$295.57	2	9	29
$116.65	1	1	11
$175.46	1	7	17
$116.37	1	1	11
$197.23	1	9	19
$418.89	4	1	41
$554.19	5	5	55
$189.68	1	8	18
$84.96	8	4	84
$608.22	6	0	60
$636.31	6	3	63
$63.35	6	3	63
$870.37	8	7	87
$105.85	1	0	10
$198.17	1	9	19
$804.82	8	0	80
$429.04	4	2	42
$113.61	1	1	11
$83.68	8	3	83
$567.16	5	6	56
$4.02	4	0	40
$12.51	1	2	12
"$2,312.95"	2	3	23
"$19,881.25"	1	9	19
"$1,094.92"	1	0	10
$114.99	1	1	11
$72.84	7	2	72
$295.66	2	9	29
$665.61	6	6	66
"$1,169.48"	1	1	11
$94.46	9	4	94
$550.64	5	5	55
$226.84	2	2	22
$312.00	3	1	31
$132.35	1	3	13
$278.58	2	7	27
$114.26	1	1	11
$580.74	5	8	58
"$5,509.95"	5	5	55
$585.48	5	8	58
"$5,142.05"	5	1	51
"$3,901.29"	3	9	39
"$10,697.82"	1	0	10
"$5,009.74"	5	0	50
"$7,287.96"	7	2	72
"$10,896.58"	1	0	10
$197.15	1	9	19
$256.43	2	5	25
$292.50	2	9	29
$208.67	2	0	20
$422.95	4	2	42
$158.60	1	5	15
$72.31	7	2	72
$84.61	8	4	84
$380.18	3	8	38
$232.54	2	3	23
$372.95	3	7	37
$106.85	1	0	10
$81.92	8	1	81
$277.41	2	7	27
$101.19	1	0	10
$87.19	8	7	87
"$4,761.20"	4	7	47
$67.38	6	7	67
"$8,923.99"	8	9	89
$326.82	3	2	32
$35.30	3	5	35
$25.47	2	5	25
$472.21	4	7	47
$224.86	2	2	22
$549.63	5	4	54
$76.61	7	6	76
$85.40	8	5	85
$159.28	1	5	15
$131.16	1	3	13
$199.69	1	9	19
$120.61	1	2	12
$442.08	4	4	44
"$10,890.93"	1	0	10
"$4,240.69"	4	2	42
"$6,768.37"	6	7	67
"$3,655.75"	3	6	36
"$13,928.19"	1	3	13
"$18,406.76"	1	8	18
$294.60	2	9	29
$190.74	1	9	19
$116.69	1	1	11
$226.08	2	2	22
$196.74	1	9	19
$32.76	3	2	32
$353.77	3	5	35
$62.88	6	2	62
$41.92	4	1	41
$122.00	1	2	12
$57.55	5	7	57
$39.70	3	9	39
$210.66	2	1	21
$55.40	5	5	55
$127.02	1	2	12
$20.48	2	0	20
"$10,851.26"	1	0	10
"$12,204.32"	1	2	12
"$9,310.88"	9	3	93
"$8,646.43"	8	6	86
$69.72	6	9	69
"$9,567.63"	9	5	95
"$4,410.10"	4	4	44
$544.21	5	4	54
"$3,620.18"	3	6	36
"$7,763.62"	7	7	77
"$11,808.46"	1	1	11
"$8,392.29"	8	3	83
"$11,045.41"	1	1	11
"$10,415.74"	1	0	10
"$12,906.26"	1	2	12
"$13,910.91"	1	3	13
"$16,770.52"	1	6	16
"$10,688.40"	1	0	10
$228.26	2	2	22
$437.39	4	3	43
$505.78	5	0	50
"$7,471.02"	7	4	74
"$2,981.43"	2	9	29
"$1,899.13"	1	8	18
"$19,173.63"	1	9	19
$613.18	6	1	61
"$5,509.68"	5	5	55
$50.56	5	0	50
$23.62	2	3	23
$59.29	5	9	59
$46.65	4	6	46
$50.01	5	0	50
$593.15	5	9	59
"$5,766.78"	5	7	57
"$11,138.66"	1	1	11
"$1,109.60"	1	1	11
"$10,432.30"	1	0	10
"$7,694.65"	7	6	76
$35.65	3	5	35
$349.20	3	4	34
$111.81	1	1	11
$96.59	9	6	96
$31.31	3	1	31
$75.65	7	5	75
$116.09	1	1	11
